"","Ticker","SEC_Company_ID"
"396","CLH",822818
"397","BUSE",314489
"399","BLK",1364742
"400","HZNP",1492426
"401","FBSS",1083643
"402","GRA",1045309
"403","BFS",907254
"404","SIX",701374
"407","HHS",45919
"408","REPH",1588972
"410","CZNC",810958
"413","PIOE",1044435
"414","WAT",1000697
"415","TNET",937098
"416","GNC",1502034
"417","JNPR",1043604
"419","RLI",84246
"420","HMSY",1196501
"422","UFPI",912767
"424","UPS",1090727
"425","MPW",1287865
"426","SFLY",1125920
"427","FREVS",36840
"429","GPC",40987
"431","GATX",40211
"432","LUV",92380
"433","PGR",80661
"436","ILMN",1110803
"437","TXRH",1289460
"438","TRMB",864749
"439","LPLA",1397911
"440","AGNC",1423689
"442","TRST",357301
"444","PJC",1230245
"445","BGNE",1651308
"447","URI",1067701
"448","AVNW",1377789
"450","NS",1110805
"451","CET",18748
"452","TST",1080056
"453","GEO",923796
"455","CLSD",1539029
"456","CR",25445
"458","GSAT",1366868
"459","NBY",1389545
"460","CPSI",1169445
"461","HEWA",754813
"462","WSTL",1002135
"463","LENS",1591096
"465","ISR",728387
"466","ELVT",1651094
"467","INT",789460
"471","TRU",1552033
"473","CHCI",1299969
"475","CARB",1340127
"476","RMAX",1581091
"477","WHLR",1527541
"478","SCL",94049
"479","ACLZ",1352952
"480","ETH",896156
"481","PBI",78814
"484","CHRW",1043277
"485","LJPC",920465
"486","EML",31107
"487","BBT",92230
"489","LTRPA",1606745
"491","BPMC",1597264
"492","EME",105634
"494","ORRF",826154
"495","FFKT",713095
"496","FSP",1031316
"497","BDSI",1103021
"498","ACHN",1070336
"499","TROW",1113169
"500","TPR",1116132
"501","CCNI",1140102
"502","TTMI",1116942
"503","RETA",1358762
"504","CP",16875
"505","INTL",913760
"506","BFAM",1437578
"507","IDA",1057877
"509","CBS",813828
"511","AAPL",320193
"512","TWO",1465740
"514","ADAP",1621227
"517","CHD",313927
"518","AZO",866787
"519","ADSK",769397
"520","FNB",37808
"523","VRTX",875320
"524","DXTR",1178104
"525","DISH",1001082
"526","CSFL",1102266
"527","CIT",1171825
"528","RPT",842183
"529","MSA",66570
"530","FNSR",1094739
"532","NWL",814453
"533","CSGP",1057352
"536","MDLZ",1103982
"538","F",37996
"539","SIRI",908937
"540","ANGI",1491778
"541","OCSL",1414932
"543","VC",1111335
"544","ARE",1035443
"546","UGI",884614
